customer_customerNumber,customer_customerName,customer_contactFirstName,customer_contactLastName,customer_phone,customer_addressLine1,customer_addressLine2,customer_postalCode,customer_county,customer_subCounty,customer_status,customerorder_orderNumber,customerorder_orderDate,customerorder_requiredDate,customerorder_dispatchDate,customerorder_orderStatusID,customerorder_customerNumber,customerfeedback_customerfeedbackID,customerfeedback_foodquality,customerfeedback_servicequality,customerfeedback_pricetovalue,customerfeedback_ambiance,customerfeedback_comment,orderdetail_productCode,orderdetail_quantityOrdered,orderdetail_priceEach,product_productName,product_productDescription,product_quantityInStock,product_costOfProduction,product_sellingPrice,productcategory_productCategoryID,productcategory_categoryName,productcategory_categoryDescription,orderstatus_orderStatusID,orderstatus_status,branch_branchCode,branch_phone,branch_addressLine1,branch_addressLine2,branch_postalCode,branch_county,branch_subCounty
111,Achieng Ochieng,Achieng,Ochieng,0762556460,993 Uhuru Hwy,Apt 6,19399,Mombasa,Moiben,0,4,2023-06-22 04:47:02,2023-06-22 11:09:36,2023-06-22 10:17:33,2,111,808,2,3,2,3,Limited vegetarian options.,P053,1,70.00,Matoke na Sukuma,Plantains cooked with collard greens.,70,30.00,70.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",2,Processing,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
491,Michel Bizimana,Michel,Bizimana,0733475327,849 Uhuru Hwy,Apt 16,84540,Kisumu,Kisauni,1,29,2025-01-10 19:09:33,2025-01-11 13:18:36,2025-01-16 09:44:32,3,491,3546,4,5,4,4,Staff were very friendly.,P090,4,50.00,Akara,"Deep-fried bean cakes made from black-eyed peas, onions, and spices.",100,20.00,50.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",3,In Transit,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
491,Michel Bizimana,Michel,Bizimana,0733475327,849 Uhuru Hwy,Apt 16,84540,Kisumu,Kisauni,1,29,2025-01-10 19:09:33,2025-01-11 13:18:36,2025-01-16 09:44:32,3,491,3546,4,5,4,4,Staff were very friendly.,P053,1,70.00,Matoke na Sukuma,Plantains cooked with collard greens.,70,30.00,70.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",3,In Transit,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
491,Michel Bizimana,Michel,Bizimana,0733475327,849 Uhuru Hwy,Apt 16,84540,Kisumu,Kisauni,1,29,2025-01-10 19:09:33,2025-01-11 13:18:36,2025-01-16 09:44:32,3,491,3546,4,5,4,4,Staff were very friendly.,P035,6,70.00,Ndizi na Nyama,Green bananas cooked with meat and spices.,70,30.00,70.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",3,In Transit,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
711,[Business] Ole Sereni Lodge,Mwangi,Malema,0748322635,156 Karen Rd,Apt 86,19764,Mombasa,Molo,1,40,2024-11-12 22:07:26,2024-11-13 12:24:30,,1,711,5049,4,4,3,3,Food arrived hot and fresh.,P026,7,70.00,Supa ya Ndizi,"Banana soup made with green bananas, meat, and spices.",70,30.00,70.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",1,Pending,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
711,[Business] Ole Sereni Lodge,Mwangi,Malema,0748322635,156 Karen Rd,Apt 86,19764,Mombasa,Molo,1,40,2024-11-12 22:07:26,2024-11-13 12:24:30,,1,711,5049,4,4,3,3,Food arrived hot and fresh.,P014,4,150.00,Mutura,"Kenyan sausage made from minced meat, blood, and spices.",60,70.00,150.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",1,Pending,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
121,Wanjiku Abdi,Wanjiku,Abdi,0710685846,996 Haile Selassie Ave,Apt 61,81697,Garissa,Molo,0,53,2022-11-03 03:07:38,2022-11-05 21:25:25,2022-11-08 12:42:02,2,121,878,3,4,4,4,The salad was wilted.,P033,8,50.00,Ugali na Sukuma,Ugali served with saut̩ed collard greens.,100,20.00,50.00,1,Staple Foods,Essential carbohydrate-rich foods commonly served as the main part of meals.,2,Processing,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
266,[Business] Serena Residences,Paul,Hussein,0715947662,159 Uhuru Hwy,Apt 50,82607,Marsabit,Nyali,1,62,2022-12-10 19:42:28,2022-12-13 20:27:27,2022-12-13 20:37:29,4,266,1925,4,4,4,4,The soup was outstanding.,P039,5,200.00,Kuku na Wali,Chicken served with rice.,70,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",4,Delivered,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
266,[Business] Serena Residences,Paul,Hussein,0715947662,159 Uhuru Hwy,Apt 50,82607,Marsabit,Nyali,1,62,2022-12-10 19:42:28,2022-12-13 20:27:27,2022-12-13 20:37:29,4,266,1925,4,4,4,4,The soup was outstanding.,P065,5,70.00,Matoke na Wali,Plantains served with rice.,70,30.00,70.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",4,Delivered,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
266,[Business] Serena Residences,Paul,Hussein,0715947662,159 Uhuru Hwy,Apt 50,82607,Marsabit,Nyali,1,62,2022-12-10 19:42:28,2022-12-13 20:27:27,2022-12-13 20:37:29,4,266,1925,4,4,4,4,The soup was outstanding.,P054,1,60.00,Maharagwe na Sukuma,Beans served with collard greens.,90,30.00,60.00,5,Legume-Based Dishes,"Dishes featuring beans, lentils, or other legumes, cooked with spices or coconut milk.",4,Delivered,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
649,[Business] Nyali Palace,Michelle,Bizimana,0767443584,148 Jogoo Rd,Apt 80,5693,Mombasa,Kesses,0,119,2023-10-30 12:38:07,2023-11-01 03:36:51,2023-10-31 18:15:20,5,649,4624,1,1,1,2,Reservation was lost.,P100,4,50.00,Vetkoek,"Deep-fried dough balls, often filled with minced meat or served with syrup.",90,20.00,50.00,8,Sweet Snacks/Desserts,"Sweet dishes or snacks, often fried or baked, served as a dessert or treat.",5,Cancelled,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
649,[Business] Nyali Palace,Michelle,Bizimana,0767443584,148 Jogoo Rd,Apt 80,5693,Mombasa,Kesses,0,119,2023-10-30 12:38:07,2023-11-01 03:36:51,2023-10-31 18:15:20,5,649,4624,1,1,1,2,Reservation was lost.,P038,3,150.00,Supu ya Mbuzi,Goat soup cooked with spices.,60,70.00,150.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",5,Cancelled,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
